Designator,Mid X,Mid Y,Rotation,Layer
C1,239.842,-74.295,180.0,top
C2,227.203,-71.059,270.0,top
C3,215.138,-74.61,270.0,top
C4,234.696,-107.179,270.0,top
C5,223.901,-102.489,180.0,top
D1,228.346,-58.8795,90.0,top
D2,224.917,-58.8795,90.0,top
D3,241.3762,-119.7922,270.0,top
D4,208.2292,-74.4928,90.0,top
D5,207.0608,-69.0318,270.0,top
D6,228.727,-84.1225,270.0,top
D7,213.9442,-111.3594,270.0,top
J1,251.46,-92.725,180.0,bottom
J2,251.46,-68.585,180.0,bottom
J3,203.2,-95.25,0.0,bottom
J4,203.2,-74.915,0.0,bottom
J5,240.058,-59.082,180.0,top
J6,249.5788,-113.327,90.0,top
J7,205.132,-113.327,270.0,top
J8,213.84,-59.082,180.0,top
J9,213.8884,-121.6152,270.0,top
L1,233.426,-119.484,90.0,top
Q1,232.918,-80.4695,90.0,top
Q2,231.267,-91.906,0.0,top
Q3,215.0595,-87.63,0.0,top
R1,217.932,-71.059,90.0,top
R10,222.578666,-71.059,270.0,top
R12,207.645,-98.4015,90.0,top
R13,207.645,-102.4655,90.0,top
R14,245.872,-70.358,90.0,top
R15,243.332,-75.1605,270.0,top
R17,211.0505,-75.565,0.0,top
R18,224.6395,-96.012,180.0,top
R19,219.5595,-96.012,180.0,top
R2,238.379,-79.502,180.0,top
R20,212.0955,-64.643,0.0,top
R21,207.547,-64.643,180.0,top
R22,219.5595,-91.44,0.0,top
R23,224.6395,-91.44,180.0,top
R24,229.3855,-86.995,180.0,top
R25,224.6395,-86.868,0.0,top
R26,219.5595,-86.868,180.0,top
R3,227.228642,-65.532,270.0,top
R4,217.932,-65.5085,270.0,top
R5,231.893856,-65.532,90.0,top
R6,236.55907,-65.532,0.0,top
R7,241.2746,-65.6101,270.0,top
R8,245.8895,-65.532,90.0,top
R9,222.578666,-65.5085,270.0,top
U1,233.553,-72.263,0.0,top
U2,242.443,-91.186,180.0,top
U3,240.157,-70.231,90.0,top
U4,211.709,-69.85,180.0,top
U5,223.266,-119.604,270.0,top
U6,224.79,-82.55,180.0,top
